id,question,option1,option2,option3,option4,correct,interval,next_date,last_result,subject
1,Marked prostration with constant desire to lie down; gastric catarrh present. Choose remedy.,Abies canadensis,China,Gelsemium,Arsenicum album,A,1,30/4/2026,,Materia Medica
2,Ravenous appetite but weak digestion; eats beyond capacity ? distention.,Abies canadensis,Iodum,Lycopodium,Nux vomica,A,1,30/4/2026,,Materia Medica
3,Sensation as if �blood were ice-water� with chilliness�closest remedy?,Aconite,Abies canadensis,China,Ammon mur,A,1,30/4/2026,,Materia Medica
4,Cold sensation between scapulae�most characteristic of which differential?,Abies canadensis,Ammon mur,China,Aconite,B,1,30/4/2026,,Materia Medica
5,Flatulence interfering with cardiac action causing palpitation.,Carbo veg,Abies canadensis,Lycopodium,Digitalis,B,1,30/4/2026,,Materia Medica
6,"Uterine displacement with soreness at fundus, better by pressure + debility.",Abies canadensis,Sepia,Lilium tigrinum,Murex,A,1,30/4/2026,,Materia Medica
7,"Craving for coarse food (radish, turnip, pickles) with gastric disturbance.",Abies canadensis,Sulphur,Calcarea carb,Nux vomica,A,1,30/4/2026,,Materia Medica
8,Peculiar sensation: right lung and liver feel small and hard.,Abies canadensis,Bryonia,Chelidonium,Phosphorus,A,1,30/4/2026,,Materia Medica
9,Night sweats with debility but due to fluid loss (not gastric).,Abies canadensis,China,Arsenicum album,Phosphoric acid,B,1,30/4/2026,,Materia Medica
10,"Gnawing, empty, faint feeling at epigastrium with hunger.",Abies canadensis,Anacardium,Iodum,Sepia,A,1,30/4/2026,,Materia Medica
11,"Patient chilly, clammy, weak, wants to lie down constantly; gastric catarrh.",Abies canadensis,Gelsemium,Pulsatilla,Arsenicum album,A,1,30/4/2026,,Materia Medica
12,"Irritable, light-headed, �tipsy� feeling with gastric symptoms.",Abies canadensis,Nux vomica,Chamomilla,Cocculus,A,1,30/4/2026,,Materia Medica
13,Feeling �womb is soft and feeble� with displacement and debility.,Abies canadensis,Sepia,Murex,Lilium tigrinum,A,1,30/4/2026,,Materia Medica
14,Constipation with burning in rectum along with gastric symptoms.,Abies canadensis,Sulphur,Nux vomica,Aloe,A,1,30/4/2026,,Materia Medica
15,Gleet with mucous membrane involvement and gastric disturbance.,Abies canadensis,Thuja,Medorrhinum,Pulsatilla,A,1,30/4/2026,,Materia Medica
16,Theme: �Lump sensation in stomach� + after eating aggravation. Select remedy.,China,Abies nigra,Lycopodium,Nux vomica,B,1,30/4/2026,,Materia Medica
17,Theme: Gastric disorder in elderly + heart symptoms (functional).,Digitalis,Abies nigra,Crataegus,Kali carb,B,1,30/4/2026,,Materia Medica
18,Requirement: Pain always after eating + constriction above stomach.,Abies nigra,Nux vomica,Bryonia,Pulsatilla,A,1,30/4/2026,,Materia Medica
19,Theme: Knotted feeling at epigastrium + distress after meals.,Ignatia,Abies nigra,Anacardium,Colocynth,B,1,30/4/2026,,Materia Medica
20,Requirement: Loss of appetite morning but hunger later (noon/night).,Lycopodium,Sulphur,Abies nigra,Psorinum,C,1,30/4/2026,,Materia Medica
21,Theme: Chest compression + cannot expand lungs fully.,Phosphorus,Abies nigra,Antimonium tart,Kali carb,B,1,30/4/2026,,Materia Medica
22,Requirement: Waterbrash after cough + gastric pathology.,Abies nigra,Bryonia,Drosera,Spongia,A,1,30/4/2026,,Materia Medica
23,Theme: Dyspnea worse lying down + irregular heart action.,Digitalis,Abies nigra,Lachesis,Arsenicum album,B,1,30/4/2026,,Materia Medica
24,Requirement: Wakeful at night + hunger + bad dreams.,Psorinum,Sulphur,Abies nigra,Cina,C,1,30/4/2026,,Materia Medica
25,Theme: Offensive breath + eructations + gastric catarrh.,Nux vomica,Carbo veg,Abies nigra,Pulsatilla,C,1,30/4/2026,,Materia Medica
26,Requirement: Aggravation after tea and tobacco.,Abies nigra,Nux vomica,Sulphur,Lycopodium,A,1,30/4/2026,,Materia Medica
27,Theme: Something lodged in chest ? needs to cough out.,Kali carb,Abies nigra,Phosphorus,Drosera,B,1,30/4/2026,,Materia Medica
28,Requirement: Chronic intermittent fever with gastric pain.,China,Eupatorium perf,Abies nigra,Arsenicum album,C,1,30/4/2026,,Materia Medica
29,Theme confusion: Lump sensation but better from eructation (NOT Abies).,Abies nigra,China,Lycopodium,Nux vomica,B,1,30/4/2026,,Materia Medica
30,Core modality of remedy ABIES NIGRA,Better fasting,Worse after eating,Better motion,Worse morning,B,1,30/4/2026,,Materia Medica
31,Rapidly spreading purulent conjunctivitis extending to face and neck.,Euphrasia,Abrus precatorius,Belladonna,Merc sol,B,1,30/4/2026,,Materia Medica
32,Granular lids / ophthalmia with intense suppuration and destructive tendency.,Pulsatilla,Sulphur,Abrus precatorius,Calcarea carb,C,1,30/4/2026,,Materia Medica
33,Remedy used to induce artificial purulent inflammation in trachoma.,Euphrasia,Jequiritol,Argentum nit,Nat mur,B,1,30/4/2026,,Materia Medica
34,Keratitis with marked purulent discharge and rapid tissue involvement.,Merc cor,Abrus precatorius,Nitric acid,Kali bich,B,1,30/4/2026,,Materia Medica
35,Eye inflammation spreading beyond local tissue ? face and neck.,Apis,Abrus precatorius,Rhus tox,Belladonna,B,1,30/4/2026,,Materia Medica
36,Identify the NOT characteristic feature of Abrus.,Purulent ophthalmia,Granular lids,Acrid tears with bland coryza,Spread to face,C,1,30/4/2026,,Materia Medica
37,Pathological sphere of Abrus precatorius is mainly:,Skin,Eye (purulent),Nervous system,Liver,B,1,30/4/2026,,Materia Medica
38,Epithelioma and lupus with ulcerative tendency involving mucosa.,Arsenicum album,Abrus precatorius,Silicea,Thuja,B,1,30/4/2026,,Materia Medica
39,Which differential shows acrid lachrymation with non-purulent picture?,Abrus precatorius,Euphrasia,Merc sol,Hepar sulph,B,1,30/4/2026,,Materia Medica
40,Marasmus with emaciation of lower extremities only despite good appetite.,Iodum,Abrotanum,Natrum mur,Tuberculinum,B,1,30/4/2026,,Materia Medica
41,Rheumatism following suppressed diarrhoea is a keynote of:,Bryonia,Rhus tox,Abrotanum,Pulsatilla,C,1,30/4/2026,,Materia Medica
42,Metastasis of complaints (bowel ? joints) strongly indicates:,Sulphur,Abrotanum,Lycopodium,Calcarea carb,B,1,30/4/2026,,Materia Medica
43,Appetite good but progressive emaciation with undigested stool (lienteric).,Iodum,Abrotanum,Cina,Sanicula,B,1,30/4/2026,,Materia Medica
44,Haemorrhoids worse when rheumatism improves (alternating states).,Nux vomica,Aloe,Abrotanum,Sulphur,C,1,30/4/2026,,Materia Medica
45,Child cannot hold head up due to extreme weakness in marasmus.,Aethusa,Abrotanum,Calcarea phos,Tuberculinum,B,1,30/4/2026,,Materia Medica
46,Sensation as if bowels are sinking down with abdominal weakness.,Sepia,Abrotanum,Aloe,Podophyllum,B,1,30/4/2026,,Materia Medica
47,"Face: old, wrinkled, pale with blue rings around eyes in a child.",Opium,Abrotanum,Cina,Calcarea carb,B,1,30/4/2026,,Materia Medica
48,Alternation of diarrhoea and constipation with worms (ascarides).,Cina,Abrotanum,Teucrium,Sulphur,B,1,30/4/2026,,Materia Medica
49,"Gnawing hunger with whining child, yet progressive wasting.",Cina,Abrotanum,Iodum,Chamomilla,B,1,30/4/2026,,Materia Medica
50,Rheumatism with pricking sensation in joints before swelling appears.,Bryonia,Abrotanum,Rhus tox,Ledum,B,1,30/4/2026,,Materia Medica
51,Skin eruptions suppressed ? internal complaints worsen.,Sulphur,Abrotanum,Psorinum,Graphites,B,1,30/4/2026,,Materia Medica
52,Great weakness after influenza (compare).,Kali phos,Abrotanum,Gelsemium,China,A,1,30/4/2026,,Materia Medica
53,Modalities of Abrotanum:,Better cold air,Worse motion,Worse cold air & suppression,Better rest,C,1,30/4/2026,,Materia Medica
54,"Child is irritable, cross, depressed, even cruel tendency.",Chamomilla,Cina,Abrotanum,Stramonium,C,1,30/4/2026,,Materia Medica
55,"Marasmus with flabby, loose hanging skin folds.",Natrum mur,Abrotanum,Sanicula,Calcarea carb,B,1,30/4/2026,,Materia Medica
56,Pain extending along spermatic cord with lumbar pain.,Clematis,Abrotanum,Berberis,Lycopodium,B,1,30/4/2026,,Materia Medica
57,Dry cough appearing after suppression of diarrhoea.,Bryonia,Abrotanum,Pulsatilla,Drosera,B,1,30/4/2026,,Materia Medica
58,"Hydrocele and epistaxis in weak, marasmic boys.",Calcarea carb,Abrotanum,Sulphur,Phosphorus,B,1,30/4/2026,,Materia Medica
